TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
0.131, 1.807576494E-06, -0.120111429, -1.293621599E-06, 8.602989714E-02, 2.822950779E-07, -1.595475301E-02
0.132, 1.886723853E-06, -0.112593307, -1.173480683E-06, 7.628859875E-02, 2.611579552E-07, -6.769303747E-03
0.133, 1.862487911E-06, -9.417340692E-02, -9.9070231E-07, 4.898641938E-02, 2.38328256E-07, 3.384181208E-03
0.134, 1.755739255E-06, -7.085203355E-02, -7.722059629E-07, 2.244940691E-02, 2.218227735E-07, 9.264328063E-03
0.135, 1.587825093E-06, -5.147886815E-02, -5.408963443E-07, 3.17707592E-03, 2.149198652E-07, 9.940874674E-03
0.136, 1.373906953E-06, -4.052898732E-02, -3.154184974E-07, -1.484059135E-02, 2.164815845E-07, 6.988417284E-03
0.137, 1.124007501E-06, -3.1433689E-02, -1.11982444E-07, -2.924311254E-02, 2.222150099E-07, 1.355025149E-03
0.138, 8.50310867E-07, -1.616077655E-02, 6.210680364E-08, -2.945073587E-02, 2.261816377E-07, -4.888634853E-03
0.139, 5.684490506E-07, -1.695072517E-04, 2.1195462E-07, -1.903215742E-02, 2.235944347E-07, -8.219084632E-03
0.14, 2.886289633E-07, 4.25317277E-03, 3.433173335E-07, -1.79377875E-02, 2.12851839E-07, -8.09172951E-03
0.141, 1.110420929E-08, 3.374970203E-04, 4.483269641E-07, -3.476819014E-02, 1.941485571E-07, -7.829618033E-03
0.142, -2.620797082E-07, 8.343877631E-03, 5.09832383E-07, -5.22404017E-02, 1.668382903E-07, -9.384331373E-03
0.143, -5.122409818E-07, 3.770117424E-02, 5.193727928E-07, -5.168989783E-02, 1.293045958E-07, -1.106254094E-02
0.144, -7.085045804E-07, 7.009433186E-02, 4.842834221E-07, -3.756972329E-02, 8.068579259E-08, -1.110770025E-02
0.145, -8.296624236E-07, 8.011757958E-02, 4.191144127E-07, -2.258951615E-02, 2.188730927E-08, -9.251683705E-03
0.146, -8.789659148E-07, 6.359138888E-02, 3.402348906E-07, -4.831615362E-03, -4.4002613E-08, -4.931231958E-03
0.147, -8.768478221E-07, 3.925171311E-02, 2.693314097E-07, 2.078360724E-02, -1.118822327E-07, 9.518354295E-04
0.148, -8.414024176E-07, 2.740266571E-02, 2.295622023E-07, 4.148515015E-02, -1.773427444E-07, 3.886455162E-03
0.149, -7.780036385E-07, 2.850400283E-02, 2.302120796E-07, 3.935337808E-02, -2.40046269E-07, 1.627574523E-03
0.15, -6.882149845E-07, 2.427595802E-02, 2.603671775E-07, 1.96571463E-02, -3.019987462E-07, -1.255466172E-04
0.151, -5.852735502E-07, 2.02984172E-03, 3.025547311E-07, 4.407573496E-03, -3.616494587E-07, 4.728978046E-03
0.152, -4.950885587E-07, -2.754278025E-02, 3.467341072E-07, -4.239986134E-04, -4.127449356E-07, 1.238151977E-02
0.153, -4.400938558E-07, -4.283809854E-02, 3.869078699E-07, -7.587101685E-03, -4.502701494E-07, 1.475911091E-02
0.154, -4.250907424E-07, -3.714530437E-02, 4.131595357E-07, -2.025707981E-02, -4.743722789E-07, 1.208708051E-02
0.155, -4.392524989E-07, -2.118447013E-02, 4.163590375E-07, -2.584743552E-02, -4.871522815E-07, 1.055712259E-02
